Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
The Shawshank Redemption,1994,142,Drama,9.3,"Dos hombres encarcelados se unen durante varios años, encontrando consuelo y eventualmente redención a través de actos de decencia común.",Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler
The Godfather,1972,175,"Drama, Crimen",9.2,El anciano patriarca de una dinastía del crimen organizado transfiere el control de su imperio clandestino a su reacio hijo.,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton
The Dark Knight,2008,152,"Acción, Crimen, Drama",9.0,"Cuando la amenaza conocida como el Joker causa estragos y caos en la gente de Gotham, Batman debe aceptar una de las mayores pruebas psicológicas y físicas de su capacidad para luchar contra la injusticia.",Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine
The Godfather: Part II,1974,202,"Drama, Crimen",9.0,"Se retratan los primeros años de vida y la carrera de Vito Corleone en la ciudad de Nueva York de la década de 1920, mientras su hijo, Michael, amplía y refuerza su control sobre el sindicato del crimen familiar.",Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton
12 Angry Men,1957,96,"Drama, Crimen",9.0,Un jurado que se resiste intenta evitar un error judicial obligando a sus colegas a reconsiderar las pruebas.,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler
The Lord of the Rings: The Return of the King,2003,201,"Acción, Aventura, Drama",8.9,Gandalf y Aragorn lideran el Mundo de los Hombres contra el ejército de Sauron para desviar su mirada de Frodo y Sam mientras se acercan al Monte del Destino con el Anillo Único.,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom
Pulp Fiction,1994,154,"Drama, Crimen",8.9,"Las vidas de dos sicarios de la mafia, un boxeador, un gángster y su esposa, y un par de bandidos de un restaurante se entrelazan en cuatro historias de violencia y redención.",Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
Schindler's List,1993,195,"Biografía, Drama, Historia",8.9,"En la Polonia ocupada por los alemanes durante la Segunda Guerra Mundial, el industrial Oskar Schindler gradualmente se preocupa por su fuerza laboral judía después de presenciar la persecución de los nazis.",Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall
Inception,2010,148,"Acción, Aventura, Ciencia ficción",8.8,A un ladrón que roba secretos corporativos mediante el uso de tecnología para compartir sueños se le asigna la tarea inversa de plantar una idea en la mente de un director ejecutivo.,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe
Fight Club,1999,139,Drama,8.8,"Un oficinista insomne ​​y un fabricante de jabón despreocupado forman un club de lucha clandestino que evoluciona hasta convertirse en algo mucho, mucho más.",David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier
